showid,name,season,release_year,episode_count,synopsis
70143830,The Big Bang Theory,Season 9,2015,24,"Adulthood continues to catch up to the whole gang and their relationships take new and exciting steps, even as Sheldon tries to resist big changes."
70143830,The Big Bang Theory,Season 10,2016,24,"In Season 10, a wedding, a baby, a government assignment and some new living arrangements will take the group into uncharted territory."
70143830,The Big Bang Theory,Season 11,2017,24,"The gang's lives and relationships continue to evolve amid a planned walk down the aisle, an unexpected addition and other milestones big and small."
70143830,The Big Bang Theory,Season 12,2018,24,"In the show's final season, the gang's only constant is change amid the pursuit of Nobel Prize dreams and their ever-evolving relationship as a team."
70143811,Gossip Girl,Season 1,2007,18,"When two once-close friends become rivals, their battle for power is publicized to their entire prep school thanks to Gossip Girl's dirt-dishing blog."
70143811,Gossip Girl,Season 2,2008,25,"A new arrival threatens the friendship between Serena and Blair, and shocking secrets are revealed as Gossip Girl continues her outrageous blog."
70143811,Gossip Girl,Season 3,2009,22,The juicy buzz oozing from Gossip Girl's blog continues as Dan begins dating a film star and Serena looks to get even after a falling out with Chuck.
70143811,Gossip Girl,Season 4,2010,22,"As the season kicks off, Blair and Serena are enjoying summer vacation in Paris, where Blair unexpectedly finds romance with a handsome young man."
70143811,Gossip Girl,Season 5,2011,24,"When Serena lands a dream summer job in Hollywood, she brings along her Upper East Side attitude, as Chuck and Nate learn when they come for a visit."
70143811,Gossip Girl,Season 6,2012,10,"Never shy about posting on her juicy blog, the Gossip Girl keeps dishing the dirt on the lives of a group of privileged young adults in New York."
70204970,DEATH NOTE,Season 1,2006,37,"When a Japanese high schooler comes into possession of a mystical notebook, he finds he has the power to kill anybody whose name he enters in it."
70142394,The Fairly OddParents,Season 1,2009,20,"Timmy and his fairy godfamily deal with more wacky chaos, including Poof's anti-fairy opposite, Foop, who vows magical revenge on just about everyone."
70143836,Breaking Bad,Season 1,2008,7,"Diagnosed with terminal cancer, a high school teacher tries to secure his family's financial future by producing and distributing crystal meth."
70143836,Breaking Bad,Season 2,2009,13,"Teacher turned meth dealer Walter climbs higher in the drug game, which draws attention from competing cartels and imperils his DEA brother-in-law."
70143836,Breaking Bad,Season 3,2010,13,"The previous season left Walter White on unstable ground. But for the sake of his family, he continues cooking crystal meth on the down-low."
70143836,Breaking Bad,Season 4,2011,13,"Emmy winner Bryan Cranston returns as chemistry teacher turned meth maker Walter White, who's now desperate to outwit drug lord Gus Fring."
70143836,Breaking Bad,Season 5,2012,16,"In the final episodes, being bad is no longer an act as Walt's downward spiral leads him to the top of a drug empire."
70143860,The Vampire Diaries,Season 1,2009,22,"In a Virginia town hiding secrets, two vampire brothers -- good Stefan and the evil Damon -- compete for the love of 17-year-old Elena Gilbert."
70143860,The Vampire Diaries,Season 2,2010,22,"As Elena struggles to choose between conflicted vampire Stefan and his brother, Damon, perplexing mysteries continue to emerge across Mystic Falls."
70143860,The Vampire Diaries,Season 3,2011,22,"In its third spooky season, the teen drama sheds an eerie light on the mysterious and blood-soaked past of rival vampire siblings Stefan and Damon."
70143860,The Vampire Diaries,Season 4,2012,23,"As Elena and her friends move closer to high school graduation, a new villain arrives in Mystic Falls and sets about destroying it."
70143860,The Vampire Diaries,Season 5,2013,22,There's life after high school for mortals and vampires alike as the Mystic Falls gang heads to college in the fifth season of this spooky drama.
70143860,The Vampire Diaries,Season 6,2014,22,"Still reeling from a major loss, Elena and the Mystic Falls crew try to move on with their lives, only to find the past isn't done with them yet."
70143860,The Vampire Diaries,Season 7,2015,22,"As Damon comes to grips with his new reality, Mystic Falls gains a menacing new foe in the Heretics, a family of witch-vampire hybrids."
70143860,The Vampire Diaries,Season 8,2016,16,"In the final season, Stefan battles an evil presence that targets the Salvatore clan and possesses Damon, jeopardizing his future with Elena."
70213130,Boys Over Flowers,Season 1,2009,25,"Working-class girl Geum Jan-di winds up at an exclusive prep academy and teams up with the popular boys of F4, who literally rule the school."
81005375,Yu Yu Hakusho: Ghost Files,Season 1,1992,26,"After dying to save a boy, delinquent tough guy Yusuke Urameshi is granted another chance at life by redeeming himself as a ""Spirit Detective."""
81005375,Yu Yu Hakusho: Ghost Files,Season 2,1993,40,"As Yusuke and his allies finish their training under the watchful eye of Genkai, they begin their quest to fight in the mysterious Dark Tournament."
81005375,Yu Yu Hakusho: Ghost Files,Season 3,1994,28,"As the Dark Tournament comes to a dramatic end, Yusuke must now stop a former Spirit Detective from opening the gates to the Demon World."
81005375,Yu Yu Hakusho: Ghost Files,Season 4,1995,18,"With Koenma in exile and the Spirit World in political chaos, Yusuke visits the home of the first Spirit Detective, Kuroko, on the advice of Genkai."
70155547,SpongeBob SquarePants,Season 5,2006,20,"SpongeBob welcomes his cousin Stanley, travels to Atlantis, crosses paths with a notorious outlaw and embarks on a variety of fun-filled adventures."
70155547,SpongeBob SquarePants,Season 6,2007,26,"SpongeBob enthusiastically continues tackling the challenges life throws at him, including being swept away from his home and losing his memory."
70155547,SpongeBob SquarePants,Season 7,2009,24,"SpongeBob and his underwater pals keep their act fresh, to the delight of the legions of TV fans who've grown up with them."
70184207,Shameless (U.S.),Season 1,2011,12,"When a single father's drinking soaks up his meager paycheck, it's up to his oldest daughter to keep her dad and five siblings in line."
70184207,Shameless (U.S.),Season 2,2012,12,Patriarch Frank Gallagher and his loud and nutty family argue their way through a second season of this uproarious sitcom.
70184207,Shameless (U.S.),Season 3,2013,12,Alcoholic Frank Gallagher and his unconventional brood of six kids continue to stumble their way through life and love in Chicago.
70184207,Shameless (U.S.),Season 4,2014,12,"Jobless alcoholic Frank Gallagher and his messed-up, motherless brood continue to tackle life and each other from Chicago's Canaryville neighborhood."
70184207,Shameless (U.S.),Season 5,2015,12,"Love takes the Gallaghers to unexpected places: Frank finds a love that can't last, Lip learns about college romance, and Fiona's stuck in a triangle."
70184207,Shameless (U.S.),Season 6,2016,12,"Fiona continues to have feelings for Sean, despite her reunion with Gus. Frank deals with multiple crises, including the arrival of Sammi's mother."
70184207,Shameless (U.S.),Season 7,2016,12,"After waking from a month-long coma, Frank embraces a new family at a homeless shelter. Meanwhile, a freshly single Fiona finds a good use for Tinder."
70184207,Shameless (U.S.),Season 8,2017,12,"Change is brewing for the Gallaghers as Frank tries to go straight, Ian finds a calling, Lip struggles with sober life, and Fiona becomes a landlord."
70184207,Shameless (U.S.),Season 9,2018,14,Frank becomes an unlikely champion of the South Side working man while Fiona takes an expensive gamble in trying to climb the ladder of success.
70184207,Shameless (U.S.),Season 10,2019,12,"With Fiona gone, Debbie takes the reins at the house while Frank uses his leg injury to score drugs and the rest of the Gallaghers face big changes."
70184207,Shameless (U.S.),Season 11,2020,12,"In the show's final season, the Gallaghers face economic struggles brought on by the COVID-19 crisis, which leads to big changes in Chicago."
70180051,H2O: Just Add Water,Season 1,2006,26,"When three teens stranded on a remote island wander into a mystical pool during a full moon, they turn into mermaids with magical powers."
70195800,Suits,Season 1,2011,12,"Manhattan attorney Harvey Specter finds the perfect associate in streetwise prodigy Mike Ross. The trouble is, Mike's a college dropout — not a lawyer."
70195800,Suits,Season 2,2012,16,"As Harvey focuses on protecting Mike's position, Jessica deals with the fallout after the unexpected reappearance of her co-founding partner."
70195800,Suits,Season 3,2013,16,The courtroom drama continues as skilled corporate lawyer Harvey Specter and his associate Mike Ross continue their unusual partnership.
70195800,Suits,Season 4,2014,16,A new season finds Harvey and Mike on opposite sides of a corporate takeover battle that draws attention from the government.
70195800,Suits,Season 5,2015,16,"Harvey regroups in the wake of Donna's departure, Mike and Rachel edge closer to marriage, and Jessica continues to come to grips with her new life."
70195800,Suits,Season 6,2016,16,"In the aftermath of the trial, Mike faces the realities of his situation while Jessica, Harvey and Louis grapple to contain the firm's vulnerability."
70195800,Suits,Season 7,2017,16,"In a season of new beginnings and big moves, Mike commences his career as a legitimate lawyer and Harvey angles to gain control of Pearson Specter Litt."
70195800,Suits,Season 8,2018,16,"In the wake of two emotional departures, Harvey and the rest of Specter Litt face an infusion of ambitious new blood and chart a daring new course."
70195800,Suits,Season 9,2019,10,"As the firm chafes under intense new oversight, each partner faces a reckoning -- and Mike Ross returns to square off against his old mentor, Harvey."
70215459,Secret Garden,Season 1,2010,20,"In this unusual modern fairytale, a snobbish CEO is fighting his attraction to a perky but poor stuntwoman when their souls are inexplicably swapped."
70241425,Adventure Time,Season 1,2010,13,"Young Finn and his shape-shifting dog buddy, Jake, go on a series of surreal adventures as they journey through the postapocalyptic Land of Ooo."
70241425,Adventure Time,Season 2,2011,13,"Finn and Jake return for more wild adventures in the Land of Ooo, from sneaking into the Ice King's palace to searching for the Gut Grinder monster."
70241425,Adventure Time,Season 3,2011,13,"Finn and Jake cross paths with gladiator ghosts, vampire queens and the Crystal People on their bizarre new adventures in the Land of Ooo."
70241425,Adventure Time,Season 4,2012,13,"Time for more adventures! Best buds Finn and Jake never run out of places to explore with their friends Princess Bubblegum, BMO, Tree Trunks and more."
70244998,Dream High,Season 1,2011,16,Six dedicated students at Kirin Art High School work to achieve their dreams of becoming stars in the Korean music industry.
70171947,Scooby-Doo!: Mystery Incorporated,Season 1,2010,26,Scooby-Doo and friends return for more mayhem as the gang investigates spooky supernatural events in their hometown of Crystal Cove.
70155571,Ben 10,Season 1,2005,13,"While on vacation, 10-year-old Ben Tennyson finds a mysterious device that lets him transform into a variety of alien superheroes."
70155571,Ben 10,Season 2,2006,13,"The plot thickens this season as Grandpa Max reveals his secret past, Ben teams up with a group of alien heroes and Gwen gets superhuman powers."
70155571,Ben 10,Season 3,2007,13,"This season, Ben travels through a portal to the future and meets his adult self: a round-the-clock hero who can morph into 10,000 alien forms."
70269018,The Powerpuff Girls,Season 1,1998,13,"Powerpuff Girls Blossom, Bubbles and Buttercup begin their first season by exterminating the Roach Coach and crashing the Boogie Man's ball."
70269018,The Powerpuff Girls,Season 2,1999,13,An attack by Broccoli Aliens and a run-in with a royal nemesis won't stop the Powerpuff Girls from carrying on their fight to save the world.
70153388,Keeping Up with the Kardashians,Season 11,2015,13,How hard is it to leave the past behind? Kourtney tries to move on from Scott as Kim prepares for her new baby and Khloé makes a painful decision.
70153388,Keeping Up with the Kardashians,Season 12,2016,21,"This season, the Kardashians embark on new adventures abroad while juggling jam-packed schedules, major life decisions and all kinds of family drama."
70153388,Keeping Up with the Kardashians,Season 13,2017,14,The Kardashians pull the curtain back as Kim experiences a terrifying ordeal in Paris and Kourtney navigates a new normal with Scott.
70301870,Vikings,Season 1,2013,9,Ambitious warrior Ragnar Lothbrok embarks on a dangerous mission in order to win his people's favor and steal Earl Haraldson's power.
70301870,Vikings,Season 2,2014,10,"Amid crises of faith, power and relationships, the brothers rise up against one another, loyalties shift and unlikely alliances are formed."
70301870,Vikings,Season 3,2015,10,"His lust for conquest unsatisfied, Ragnar leads his warriors against Paris, even as betrayals and new dangers roil his kingdom."
70301870,Vikings,Season 4,2016,20,"Ragnar makes an unlikely friend as he recovers from battle. While those in Paris await his return, an ambitious Viking plots against him."
70301870,Vikings,Season 5,2017,20,"Lagertha and the sons of Ragnar set out to forge their own destinies amid rising threats, unforeseen betrayals and bloody battles for power."
70301870,Vikings,Season 6,2019,20,"The final season finds Bjorn now the king of Kattegat, while Ivar is a fugitive in Russia and Lagertha plans a peaceful retirement to a country farm."
70281312,The Blacklist,Season 1,2013,22,A most-wanted fugitive surrenders and helps the FBI bring down the worst criminals -- but he will only partner with rookie profiler Liz Keen.
70281312,The Blacklist,Season 2,2014,22,"Red confronts a new and lethal adversary as a key figure from his past returns, and Liz wonders about Red's obsession with a money-laundering scheme."
70281312,The Blacklist,Season 3,2015,23,"In Season 3, aided only by Red, Liz is on the run -- and on the FBI's Most Wanted list -- after being framed for serious crimes by the Cabal."
70281312,The Blacklist,Season 4,2016,22,"Liz's lost childhood and the true identity of her father become urgent mysteries needing to be solved, while Red seeks revenge on his betrayers."
70281312,The Blacklist,Season 5,2017,22,"Despite last season's stunning revelations, secrets remain to be solved -- including the mystery of the human remains unearthed at Tansi Farms."
70281312,The Blacklist,Season 6,2019,22,"Now knowing that Raymond Reddington isn't who he claims to be, Liz must decide if she'll help him uncover the traitor who has landed him on Death Row."
70281312,The Blacklist,Season 7,2019,19,Red has been drugged and kidnapped by Katarina -- but Liz and the task force still have many unanswered questions about his real identity.
70281312,The Blacklist,Season 8,2020,22,"Liz chooses to ally with her mother Katarina Rostova in bringing Red down once and for all, beginning a dangerous endgame between former allies."
